pair,min_centroid,min_footprint,t_centroid,t_footprint,ttc_accel_poly,ttc_cv_poly,ttc_accel_pt,clearance_overstatement,timing_lead
1062-1064,4.01952486270972,2.4249881418844463,250.33768572715,250.2376306968833,,,,1.5945367208252739,0.10005503026670226
641-1821,5.054267400229368,3.1596199799494116,154.0347190955025,154.0347190955025,,,,1.8946474202799566,0.0
1139-1150,6.786242522026632,5.024869922705847,262.8945920256141,262.9946470558807,,,,1.7613725993207856,-0.100055030266617
849-865,4.11056331200112,2.135279193143372,207.01385762169195,206.5135824703587,1.3000000000000005,1.2500000000000004,,1.975284118857748,0.5002751513332555
626-641,0.9714955899260169,0.0,153.88463655010256,153.88463655010256,0.65,,,0.9714955899260169,0.0
1003-1016,5.929298465237509,2.7764106766123433,239.3316323978188,239.58176997348545,,,,3.152887788625166,-0.2501375756666562
876-1898,2.959286441139226,1.564952553013148,206.713692530892,206.563609985492,,,,1.394333888126078,0.15008254539998234
1060-1062,4.603686522638329,1.5729025420891247,248.23653009155035,248.43664015208364,,,,3.030783980549204,-0.20011006053329083
4-19,6.866878567706302,5.5570875702168365,2.8015408474661063,2.8015408474661063,3.2999999999999963,,,1.3097909974894657,0.0
566-1784,2.947695562805071,0.0,143.82910600830456,143.82910600830456,0.05,0.05,,2.947695562805071,0.0
1114-1124,5.912240726637587,3.3847869099567163,261.643904147281,261.79398669268096,1.0500000000000003,1.2500000000000004,,2.527453816680871,-0.15008254539998234
1003-1023,7.18222945042453,4.383133512926506,239.981990094552,239.981990094552,,,,2.7990959374980244,0.0
573-1791,1.630980354170448,0.4876365500775064,143.62899594777127,143.17874831157135,0.8500000000000002,,,1.1433438040929416,0.4502476361999186
488-1421,9.06003944242061,6.666058419153899,131.57236480064034,131.2721997098404,,2.6499999999999986,,2.3939810232667114,0.30016509079993625
1252-1255,8.99431396007708,5.038704643060541,290.8099454700085,290.7599179548752,,,,3.9556093170165383,0.050027515133251654
1207-1963,2.300993192123399,1.622082315843782,287.3580469258092,287.10790935014256,,,,0.678910876279617,0.2501375756666562
712-1854,9.011447385104052,7.530799036555365,172.94511981589875,172.3948171494322,1.6000000000000008,,,1.4806483485486872,0.5503026664665356
849-903,7.295100019511618,4.303302872117854,211.2161688928911,210.71589374155784,,,,2.991797147393764,0.5002751513332555
493-1768,3.1493902065317836,1.7620993022064013,133.92365801190655,133.87363049677322,1.3000000000000005,1.5500000000000007,,1.3872909043253823,0.05002751513333692
730-1508,7.317265319657379,5.57648995553506,174.74611036069837,174.44594526989843,1.5500000000000007,,,1.7407753641223183,0.30016509079993625
730-1856,7.273319358934803,5.648356744710313,172.74500975536543,172.74500975536543,,,,1.62496261422449,0.0
1227-1628,2.611475906890946,1.886549744815482,288.6087348041423,288.75881734954226,,,,0.7249261620754639,-0.15008254539998234
265-1351,2.9154011301506975,0.2621390206638239,63.63499924958728,63.63499924958728,,,,2.6532621094868736,0.0
