agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
976,2616,lcv,pedestrian,ped_veh,agent_b_first,-2.6909,0.0,0.569,0.2501,0.8586,,0.02125,0.001425,976,2616,pedestrian
983,1021,pedestrian,truck,ped_veh,unresolved_conflict_zone,-0.31,0.0,0.4021,0.0,0.9901,,0.05421,0.003027,983,1021,truck
983,2670,pedestrian,lcv,ped_veh,agent_a_first,-2.3959,3.0517,3.7328,1.5008,3.0841,2.2,7e-05,5e-06,983,2670,lcv
1008,1021,pedestrian,truck,ped_veh,unresolved_conflict_zone,-1.8048,0.1001,0.4398,0.0,1.0678,,0.06531,0.003647,1008,1021,truck
1008,2633,pedestrian,car,ped_veh,agent_a_first,1.8339,0.2001,7.06,0.0,1.8335,1.9,0.0,0.0,1008,2633,car
1008,2635,pedestrian,car,ped_veh,agent_a_first,-0.3103,2.1012,1.095,0.9005,1.2778,0.45,0.14115,0.013693,1008,2635,car
1008,2670,pedestrian,lcv,ped_veh,agent_b_first,-6.2215,0.8004,3.3943,1.3007,4.1881,0.1,0.29291,0.019645,1008,2670,lcv
1008,2714,pedestrian,truck,ped_veh,agent_a_first,-1.213,0.05,0.0103,0.0,1.0195,,7e-05,4e-06,1008,2714,truck
1016,1021,pedestrian,truck,ped_veh,agent_b_first,-4.4054,1.1506,0.2071,0.0,1.1011,,0.09746,0.005442,1016,1021,truck
1016,2635,pedestrian,car,ped_veh,unresolved_conflict_zone,-3.4536,1.851,0.779,0.8004,1.7389,0.65,0.02311,0.002242,1016,2635,car
1016,2714,pedestrian,truck,ped_veh,unresolved_conflict_zone,-2.6813,0.2001,0.6639,0.0,0.86,,2e-05,1e-06,1016,2714,truck
1021,1022,truck,pedestrian,ped_veh,agent_a_first,-3.2648,1.901,3.4047,0.7004,1.1168,,0.11528,0.006437,1021,1022,pedestrian
1021,1024,truck,pedestrian,ped_veh,agent_a_first,-1.3243,1.5008,8.8808,0.8004,1.1763,,0.20458,0.011423,1021,1024,pedestrian
1021,2670,truck,lcv,veh_veh,unresolved_conflict_zone,-0.141,0.0,0.823,0.0,0.3261,0.05,0.49383,0.017369,1021,2670,lcv
1022,2670,pedestrian,lcv,ped_veh,agent_b_first,-1.641,2.4513,9.3813,0.0,0.9733,0.05,0.79982,0.053642,1022,2670,lcv
1022,2714,pedestrian,truck,ped_veh,agent_b_first,-3.9289,0.6504,1.0849,0.0,2.0689,,0.00575,0.000321,1022,2714,truck
1024,2714,pedestrian,truck,ped_veh,agent_b_first,0.0988,0.1001,0.3938,0.0,0.9431,,0.07897,0.004409,1024,2714,truck
1030,2670,pedestrian,lcv,ped_veh,agent_a_first,4.9458,0.7004,2.404,0.0,2.331,,0.0,0.0,1030,2670,lcv
1031,2635,pedestrian,car,ped_veh,agent_a_first,6.2471,1.6509,13.4344,0.0,4.325,0.5,0.12236,0.01187,1031,2635,car
1033,1047,pedestrian,truck,ped_veh,agent_b_first,-1.6004,5.9533,6.1098,0.2501,2.3238,2.25,0.0207,0.001156,1033,1047,truck
1033,2635,pedestrian,car,ped_veh,agent_a_first,5.5453,4.1023,68.757,0.0,5.514,6.7,0.0,0.0,1033,2635,car
1040,1047,pedestrian,truck,ped_veh,agent_b_first,5.3128,6.4535,1.9113,2.5014,2.9751,,0.0,0.0,1040,1047,truck
1040,1060,pedestrian,lcv,ped_veh,agent_b_first,81.2931,1.751,3.7222,0.8505,4.6403,1.9,0.0,0.0,1040,1060,lcv
1040,1074,pedestrian,lcv,ped_veh,agent_b_first,-12.2422,1.9511,5.2583,0.3002,5.0135,8.5,0.0006,4e-05,1040,1074,lcv
1040,1081,pedestrian,lcv,ped_veh,agent_b_first,-9.6929,3.0517,23.8204,1.801,3.0367,1.95,0.0,0.0,1040,1081,lcv
1040,1085,pedestrian,lcv,ped_veh,agent_b_first,-9.8302,0.7504,10.5631,0.6003,2.7562,2.2,0.0,0.0,1040,1085,lcv
