agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class,pattern
1121,1125,cyclist,cyclist,cyc_veh,agent_b_first,-0.8303,0.7004,1.0955,0.0,0.3896,,0.0,0.0,1121,1125,cyclist,Unclear Advantage
1121,1136,cyclist,pedestrian,ped_veh,agent_a_first,3.4929,0.4502,1.3391,0.0,0.7236,0.2,0.03487,0.007623,1121,1136,pedestrian,Unclear Advantage
1121,2727,cyclist,pedestrian,ped_veh,agent_a_first,-2.7695,0.6003,1.6775,0.0,3.1975,,0.0,0.0,1121,2727,pedestrian,Unclear Advantage
1121,2730,cyclist,pedestrian,ped_veh,agent_a_first,-3.9512,2.1512,3.991,0.3002,3.5715,,0.12782,0.027944,1121,2730,pedestrian,Unclear Advantage
1121,2828,cyclist,lcv,cyc_veh,unresolved_conflict_zone,0.4204,1.3507,0.3092,0.0,0.2548,0.1,0.82347,0.052529,1121,2828,lcv,Unclear Advantage
1121,2835,cyclist,pedestrian,ped_veh,agent_b_first,-1.8621,0.2501,0.305,0.0,0.4765,,0.0,0.0,1121,2835,pedestrian,Unclear Advantage
1121,2838,cyclist,pedestrian,ped_veh,agent_a_first,-6.3471,1.3507,1.9265,0.3502,1.7554,1.2,0.0,0.0,1121,2838,pedestrian,Unclear Advantage
1125,2828,cyclist,lcv,cyc_veh,agent_a_first,1.6278,0.6003,2.6576,0.0,1.9104,,0.00051,3.3e-05,1125,2828,lcv,Agent A Priority — Stable
1132,2730,cyclist,pedestrian,ped_veh,agent_a_first,-9.091,1.1006,7.413,0.4502,9.5993,,0.0,0.0,1132,2730,pedestrian,Gap-Driven Crossing
1147,3187,car,car,veh_veh,agent_b_first,-0.9646,1.901,1.3385,0.6003,0.6931,0.4,0.00039,2.3e-05,1147,3187,car,Unclear Advantage
1148,1167,pedestrian,lcv,ped_veh,agent_b_first,1.8188,0.9005,0.9531,0.0,1.2029,0.95,0.05218,0.0035,1148,1167,lcv,Unclear Advantage
1148,1187,pedestrian,lcv,ped_veh,agent_a_first,1.3245,0.4502,1.4268,0.0,1.6656,1.6,4e-05,3e-06,1148,1187,lcv,Unclear Advantage
