agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
851,856,lcv,pedestrian,ped_veh,agent_a_first,2.9826,0.0,2.9068,0.2001,1.2478,0.65,0.0,0.0,851,856,pedestrian
851,858,lcv,lcv,veh_veh,agent_a_first,0.2228,1.1006,2.3896,0.0,0.2736,,0.04233,0.001663,851,858,lcv
851,865,lcv,lcv,veh_veh,unresolved_conflict_zone,0.4696,0.3002,0.2367,0.3002,0.2497,0.2,0.26039,0.010233,851,865,lcv
851,1881,lcv,pedestrian,ped_veh,agent_a_first,3.7213,2.3013,2.7948,0.8505,1.6499,1.5,0.0,0.0,851,1881,pedestrian
851,1898,lcv,pedestrian,ped_veh,unresolved_conflict_zone,-0.4573,0.05,0.0236,0.7004,0.3456,0.15,0.35102,0.023543,851,1898,pedestrian
856,865,pedestrian,lcv,ped_veh,agent_b_first,2.6649,0.1001,1.2328,0.05,1.5255,0.95,0.0,0.0,856,865,lcv
858,868,lcv,pedestrian,ped_veh,agent_a_first,-14.4193,1.4008,4.9314,0.0,4.0841,0.9,0.0,0.0,858,868,pedestrian
858,870,lcv,lcv,veh_veh,agent_b_first,-0.8635,0.7504,0.4354,0.0,0.8872,,0.3157,0.012406,858,870,lcv
858,872,lcv,pedestrian,ped_veh,agent_b_first,1.5874,0.8505,0.5217,0.0,0.6717,,0.05204,0.00349,858,872,pedestrian
858,873,lcv,lcv,veh_veh,agent_a_first,1.8482,0.6504,1.4845,0.2001,0.9309,0.25,0.26173,0.010285,858,873,lcv
858,876,lcv,motorcycle,veh_veh,agent_a_first,0.2016,0.5003,0.2286,0.2501,0.4631,1.1,0.00193,0.000121,858,876,motorcycle
858,1881,lcv,pedestrian,ped_veh,agent_a_first,1.6499,2.3513,3.3182,0.0,1.489,1.25,0.0,0.0,858,1881,pedestrian
858,1898,lcv,pedestrian,ped_veh,agent_b_first,0.7047,0.2001,0.3037,0.0,0.1445,0.05,0.61065,0.040955,858,1898,pedestrian
865,868,lcv,pedestrian,ped_veh,agent_a_first,13.6085,0.6504,2.7862,1.1006,2.4148,,0.0,0.0,865,868,pedestrian
865,870,lcv,lcv,veh_veh,agent_b_first,-1.6684,0.7504,1.9255,0.0,1.3645,,0.00946,0.000372,865,870,lcv
865,871,lcv,pedestrian,ped_veh,agent_a_first,-18.8611,1.7009,14.4469,0.0,2.4477,0.9,0.0,0.0,865,871,pedestrian
865,872,lcv,pedestrian,ped_veh,agent_b_first,-1.8084,1.0006,2.1507,0.0,1.676,,2e-05,1e-06,865,872,pedestrian
865,873,lcv,lcv,veh_veh,unresolved_conflict_zone,-0.3582,0.3502,0.4441,0.0,0.7101,,0.03987,0.001567,865,873,lcv
865,876,lcv,motorcycle,veh_veh,agent_b_first,-11.9933,0.9505,0.5308,0.2001,0.512,0.25,0.03282,0.002061,865,876,motorcycle
865,877,lcv,pedestrian,ped_veh,agent_a_first,-2.1509,0.3502,2.4241,0.2501,0.9866,2.4,0.0,0.0,865,877,pedestrian
865,887,lcv,motorcycle,veh_veh,agent_a_first,0.202,0.3502,0.9636,0.0,1.1052,,0.00709,0.000445,865,887,motorcycle
